<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
EURUSD,W,20060220,000000,1.1932000,1.1979000,1.1859000,1.1900000,0
EURUSD,W,20060227,000000,1.1854000,1.2057000,1.1830000,1.2047000,0
EURUSD,W,20060306,000000,1.2066000,1.2078000,1.1856000,1.1911000,0
EURUSD,W,20060313,000000,1.1913000,1.2212000,1.1908000,1.2194000,0
EURUSD,W,20060320,000000,1.2180000,1.2202000,1.1950000,1.2037000,0
EURUSD,W,20060327,000000,1.2040000,1.2181000,1.1977000,1.2120000,0
EURUSD,W,20060403,000000,1.2113000,1.2337000,1.2028000,1.2092000,0
EURUSD,W,20060410,000000,1.2105000,1.2173000,1.2064000,1.2113000,0
EURUSD,W,20060417,000000,1.2120000,1.2399000,1.2118000,1.2343000,0
EURUSD,W,20060424,000000,1.2369000,1.2644000,1.2330000,1.2636000,0
EURUSD,W,20060501,000000,1.2624000,1.2769000,1.2564000,1.2729000,0
EURUSD,W,20060508,000000,1.2733000,1.2960000,1.2658000,1.2929000,0
EURUSD,W,20060515,000000,1.2942000,1.2976000,1.2692000,1.2781000,0
EURUSD,W,20060522,000000,1.2761000,1.2894000,1.2692000,1.2740000,0
EURUSD,W,20060529,000000,1.2735000,1.2944000,1.2716000,1.2923000,0
EURUSD,W,20060605,000000,1.2935000,1.2984000,1.2595000,1.2642000,0
EURUSD,W,20060612,000000,1.2617000,1.2678000,1.2525000,1.2644000,0
EURUSD,W,20060619,000000,1.2646000,1.2710000,1.2473000,1.2508000,0
EURUSD,W,20060626,000000,1.2514000,1.2799000,1.2500000,1.2794000,0
EURUSD,W,20060703,000000,1.2783000,1.2865000,1.2703000,1.2813000,0
EURUSD,W,20060710,000000,1.2814000,1.2821000,1.2623000,1.2653000,0
EURUSD,W,20060717,000000,1.2651000,1.2701000,1.2456000,1.2697000,0
EURUSD,W,20060724,000000,1.2702000,1.2775000,1.2557000,1.2760000,0
EURUSD,W,20060731,000000,1.2766000,1.2915000,1.2716000,1.2877000,0
EURUSD,W,20060807,000000,1.2871000,1.2917000,1.2711000,1.2726000,0
EURUSD,W,20060814,000000,1.2724000,1.2894000,1.2694000,1.2828000,0
EURUSD,W,20060821,000000,1.2824000,1.2944000,1.2723000,1.2755000,0
EURUSD,W,20060828,000000,1.2764000,1.2886000,1.2747000,1.2836000,0
EURUSD,W,20060904,000000,1.2841000,1.2880000,1.2648000,1.2676000,0
EURUSD,W,20060911,000000,1.2672000,1.2758000,1.2629000,1.2668000,0
EURUSD,W,20060918,000000,1.2641000,1.2837000,1.2628000,1.2787000,0
EURUSD,W,20060925,000000,1.2788000,1.2825000,1.2636000,1.2675000,0
EURUSD,W,20061002,000000,1.2739000,1.2772000,1.2570000,1.2603000,0
EURUSD,W,20061009,000000,1.2594000,1.2621000,1.2480000,1.2515000,0
EURUSD,W,20061016,000000,1.2506000,1.2649000,1.2486000,1.2620000,0
EURUSD,W,20061023,000000,1.2616000,1.2755000,1.2522000,1.2744000,0
EURUSD,W,20061030,000000,1.2732000,1.2803000,1.2676000,1.2719000,0
EURUSD,W,20061106,000000,1.2714000,1.2903000,1.2687000,1.2842000,0
EURUSD,W,20061113,000000,1.2844000,1.2884000,1.2759000,1.2830000,0
EURUSD,W,20061120,000000,1.2832000,1.3112000,1.2795000,1.3095000,0
EURUSD,W,20061127,000000,1.3169000,1.3352000,1.3085000,1.3340000,0
EURUSD,W,20061204,000000,1.3331000,1.3371000,1.3189000,1.3204000,0
EURUSD,W,20061211,000000,1.3175000,1.3296000,1.3058000,1.3082000,0
EURUSD,W,20061218,000000,1.3088000,1.3250000,1.3050000,1.3129000,0
EURUSD,W,20061225,000000,1.3119000,1.3212000,1.3087000,1.3199000,0
EURUSD,W,20070101,000000,1.3200000,1.3300000,1.2978000,1.3004000,0
EURUSD,W,20070108,000000,1.3012000,1.3057000,1.2864000,1.2924000,0
EURUSD,W,20070115,000000,1.2926000,1.3005000,1.2895000,1.2961000,0
EURUSD,W,20070122,000000,1.2964000,1.3049000,1.2875000,1.2918000,0
EURUSD,W,20070129,000000,1.2921000,1.3068000,1.2895000,1.2963000,0
EURUSD,W,20070205,000000,1.2969000,1.3052000,1.2909000,1.3010000,0
