<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,D,20201014,000000,205.1300000,208.0000000,204.7800000,207.8300000,46800230
SBER,D,20201015,000000,207.4500000,207.5700000,201.9500000,203.8500000,76453110
SBER,D,20201016,000000,204.0100000,204.2500000,200.5000000,201.1700000,66207070
SBER,D,20201019,000000,201.5900000,204.0000000,201.5900000,202.7800000,47388190
SBER,D,20201020,000000,203.0000000,209.7600000,202.5000000,209.5400000,80894090
SBER,D,20201021,000000,210.0400000,213.2500000,208.9000000,210.3300000,82434060
SBER,D,20201022,000000,209.5800000,211.5300000,207.8400000,210.2100000,46737620
SBER,D,20201023,000000,210.0000000,214.7300000,209.1500000,214.5000000,75208650
SBER,D,20201026,000000,213.4000000,214.4500000,210.5000000,211.1000000,58821670
SBER,D,20201027,000000,211.5000000,212.2900000,206.6600000,207.6400000,61053270
SBER,D,20201028,000000,206.9100000,206.9400000,202.3000000,204.7300000,70128700
SBER,D,20201029,000000,206.5100000,207.3300000,203.6400000,205.5800000,91297990
SBER,D,20201030,000000,203.6600000,204.8400000,200.6100000,200.9900000,83424060
SBER,D,20201102,000000,200.4400000,204.5900000,196.1500000,204.5000000,82202910
SBER,D,20201103,000000,205.7000000,211.1100000,203.8000000,209.2000000,90250210
SBER,D,20201105,000000,214.4000000,218.6500000,211.4300000,216.7000000,152059160
SBER,D,20201106,000000,215.8000000,218.2900000,213.0000000,217.5000000,94928190
SBER,D,20201109,000000,220.0000000,231.3000000,218.7000000,228.0500000,217217210
SBER,D,20201110,000000,227.1800000,237.6000000,226.2700000,236.1000000,229431100
SBER,D,20201111,000000,237.0000000,245.9800000,236.8900000,244.2000000,234734740
SBER,D,20201112,000000,243.3100000,245.7200000,240.2200000,242.0800000,151362110
SBER,D,20201113,000000,242.0100000,244.1400000,238.6200000,242.9900000,106127700
SBER,D,20201116,000000,244.1400000,248.7300000,244.0000000,247.9900000,113715900
SBER,D,20201117,000000,247.9900000,249.8400000,243.4100000,245.7000000,94861740
SBER,D,20201118,000000,245.0700000,247.2300000,242.5900000,242.7100000,60036860
SBER,D,20201119,000000,242.5000000,243.4900000,237.3400000,240.2700000,96933550
SBER,D,20201120,000000,239.7000000,240.7700000,236.5700000,239.4200000,48707710
SBER,D,20201123,000000,240.4600000,243.8700000,238.5200000,239.7000000,74750590
SBER,D,20201124,000000,241.5100000,247.8500000,239.5700000,247.3300000,84391720
SBER,D,20201125,000000,247.9500000,252.2000000,246.5500000,251.9100000,133279720
SBER,D,20201126,000000,252.2000000,252.8800000,247.4400000,250.1000000,79802600
SBER,D,20201127,000000,250.3100000,252.2600000,248.0300000,251.5900000,51413850
